id,c_val,h_val,o_val,t_val
7384,66.73,46,38.91,23
7411,67.05,68.6,55.3,-25.3
7412,86.3,79.3,18.25,-34.5
7413,120.82,70,153.59,22.8
7414,120.82,70,153.59,22.8
7415,71.2,43,35.83,22
7416,86.3,79.3,18.25,-34.5
7417,86.3,79.3,18.25,-34.5
7418,86.3,79.3,18.25,-34.5
7419,86.3,79.3,18.25,-34.5
7420,86.3,79.3,18.25,-34.5
7421,86.3,79.3,18.25,-34.5
7422,86.3,79.3,18.25,-34.5
7423,86.3,79.3,18.25,-34.5
7424,71.2,43,35.83,22
7425,69.82,70,22.59,22.8
7426,71.84,54.2,28.67,25.8
7427,69.82,70,22.59,22.8
7428,69.82,70,22.59,22.8
7429,69.82,70,22.59,22.8
7430,69.82,70,22.59,22.8
7431,69.82,70,22.59,22.8
7432,69.82,70,22.59,22.8
7433,69.82,70,22.59,22.8
7434,69.82,70,22.59,22.8
7435,69.82,70,22.59,22.8
7436,69.82,70,22.59,22.8
7437,78.85,64,27.64,22.8
7438,69.82,70,22.59,22.8
7439,69.82,70,22.59,22.8
7440,69.82,70,22.59,22.8
7441,69.82,70,22.59,22.8
7442,120.82,70,153.59,22.8
7443,120.82,70,153.59,22.8
7444,71.2,43,35.83,22
7445,89.44,51.6,0,25.6
7446,87.08,52.3,0,25.4
7447,87.08,52.3,0,25.4
7448,87.08,52.3,0,25.4
7449,87.08,52.3,0,25.4
7450,87.08,52.3,0,25.4
7451,90.45,52.5,0,25.1
7452,90.45,52.5,0,25.1
7453,90.45,52.5,0,25.1
7454,90.45,52.5,0,25.1
7455,90.45,52.5,0,25.1
7456,83.31,63.5,56.48,25.6
7457,83.31,63.5,56.48,25.6
7458,83.31,63.5,56.48,25.6
7459,83.31,63.5,56.48,25.6
7460,83.31,63.5,56.48,25.6
7461,83.31,63.5,56.48,25.6
7462,83.31,63.5,56.48,25.6
7463,83.31,63.5,56.48,25.6
7464,83.31,63.5,56.48,25.6
7465,83.31,63.5,56.48,25.6
7466,84.83,62.2,58.82,26.1
7467,84.83,62.2,58.82,26.1
7468,84.83,62.2,58.82,26.1
7469,84.83,62.2,58.82,26.1
7470,84.83,62.2,58.82,26.1
7471,84.83,62.2,58.82,26.1
7472,84.83,62.2,58.82,26.1
7473,84.83,62.2,58.82,26.1
7474,83.31,63.5,56.48,25.6
7475,83.31,63.5,56.48,25.6
7476,83.31,63.5,56.48,25.6
7477,83.31,63.5,56.48,25.6
7478,83.31,63.5,56.48,25.6
7479,83.31,63.5,56.48,25.6
7480,71.2,43,35.83,22
7481,69.82,70,22.59,22.8
7482,120.82,70,153.59,22.8
7483,120.82,70,153.59,22.8
7484,71.2,43,35.83,22
7485,120.82,70,153.59,22.8
7486,120.82,70,153.59,22.8
7487,120.82,70,153.59,22.8
7488,120.82,70,153.59,22.8
7489,120.82,70,153.59,22.8
