ID_Number_Seal,Production_Order,SAP_NO,MLFB,PRODUCT_TYPE,OPENING_TIME_NOM,CLOSING_TIME_NOM,BREAKER_LIFE_TYPE_ID,CREATE_DATE
000491211012001,000150254669,75091352,3WL11163BB321AA2ZA20K07N61,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012002,000150248547,75088780,3WL11103AA461BA4ZC01M06M21,3WL1,75.00,56.32,L001,2001-10-12 00:00:00.000
000491211012003,000150254668,75091352,3WL12252BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-12 00:00:00.000
000491211012004,000150254668,75091352,3WL12252BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-12 00:00:00.000
000491211012005,000150254668,75091352,3WL12252BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-12 00:00:00.000
000491211012006,000150254668,75091352,3WL12252BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-12 00:00:00.000
000491211012007,000150254669,75091352,3WL11163BB321AA2ZA20K07N61,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012008,000150254669,75091352,3WL11163BB321AA2ZA20K07N61,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012009,000150254671,75091352,3WL11103CB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012010,000150254671,75091352,3WL11103CB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012011,000150248868,75088952,3WL11123AA341AA2,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012012,000150256046,75092016,3WL11162BB321GN2ZA20C22K07M06M26,3WL1,80.82,50.28,L001,2001-10-12 00:00:00.000
000491211012013,000150256047,75091993,3WL11063AA341AA2,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012014,000150256047,75091993,3WL11063AA341AA2,3WL1,0.00,0.00,L001,2001-10-12 00:00:00.000
000491211012015,000150259735,75093619,3WL12203AA321AA2ZA20N61,3WL1,0.00,0.00,L007,2001-10-12 00:00:00.000
000491211012016,000150256046,75092016,3WL11162BB321GN2ZA20C22K07M06M26,3WL1,83.11,50.08,L001,2001-10-12 00:00:00.000
000491211013000,111010822001,9999999999,3WL13634CB354GN2,3WL1,90.26,57.64,L011,2001-10-13 00:00:00.000
000491211013001,000150248868,75088952,3WL11123AA341AA2,3WL1,0.00,0.00,L001,2001-10-13 00:00:00.000
000491211013002,111011013000,1234567788,3WL12323CB354GA2,3WL1,78.38,53.28,L009,2001-10-13 00:00:00.000
000491211015000,000150256568,75092245,3WL12203CB321GA2ZA20K07,3WL1,0.00,49.72,L007,2001-10-15 00:00:00.000
000491211015001,000150256568,75092245,3WL12203CB321GA2ZA20K07,3WL1,0.00,53.08,L007,2001-10-15 00:00:00.000
000491211015002,000150256568,75092245,3WL12203CB321GA2ZA20K07,3WL1,0.00,49.72,L007,2001-10-15 00:00:00.000
000491211015003,000150254679,75091352,3WL11082BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015004,000150257133,75092382,3WL11063AA341AA2,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015005,000150257133,75092382,3WL11063AA341AA2,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015006,000150257133,75092382,3WL11063AA341AA2,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015007,000150254643,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-15 00:00:00.000
000491211015008,000150254643,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-15 00:00:00.000
000491211015009,000150254643,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-15 00:00:00.000
000491211015010,000150254643,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-15 00:00:00.000
000491211015011,000150254643,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-15 00:00:00.000
